activated CD4-positive; alpha-beta T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-2 for 48 hours	blood
activated CD4-positive; alpha-beta T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL TNF-alpha for 48 hours	blood
activated CD4-positive; alpha-beta T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours	blood
activated CD4-positive; alpha-beta T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 100 ng/mL Interleukin-12 subunit alpha for 4 hours; 100 ng/mL Interleukin-12 subunit beta for 4 hours	blood
activated CD4-positive; alpha-beta T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 100 ng/mL Interleukin-23 for 4 hours; 100 ng/mL Interleukin-1b for 4 hours	blood
activated CD4-positive; alpha-beta T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 50 U/mL Interleukin-2 for 4 hours	blood
activated CD4-positive; alpha-beta T cell female adult 37 years	blood
activated CD4-positive; alpha-beta T cell female adult 37 years treated with Interleukin-10 for 8 hours	blood
activated CD4-positive; alpha-beta T cell female adult 37 years treated with Interleukin-4 for 8 hours	blood
activated CD4-positive; alpha-beta T cell female adult 37 years treated with Interleukin-6 for 8 hours	blood
activated CD4-positive; alpha-beta T cell male adult 20 years treated with 10 ng/mL Interleukin-2 ; anti-CD3 and anti-CD28 coated beads	blood
activated CD4-positive; alpha-beta T cell male adult 20 years treated with anti-CD3 and anti-CD28 coated beads	blood
activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour	blood
activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 100 ng/mL Interleukin-15 for 1 hour	blood
activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 100 ng/mL Interleukin-23 for 1 hour; 100 ng/mL Interleukin-1b for 1 hour	blood
activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 100 ng/mL Interleukin-4 for 1 hour	blood
activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 100 ng/mL TNF-alpha for 1 hour	blood
activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours	blood
activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 100 ng/mL Interleukin-12 subunit alpha for 24 hours; 100 ng/mL Interleukin-12 subunit beta for 24 hours	blood
activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 100 ng/mL Interleukin-15 for 24 hours	blood
activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 100 ng/mL Interleukin-23 for 24 hours; 100 ng/mL Interleukin-1b for 24 hours	blood
activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 100 ng/mL Interleukin-2 for 24 hours	blood
activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 100 ng/mL Interleukin-4 for 24 hours	blood
activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 100 ng/mL TNF-alpha for 24 hours	blood
activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 50 U/mL Interleukin-2 for 24 hours	blood
activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours	blood
activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-12 subunit alpha for 48 hours; 100 ng/mL Interleukin-12 subunit beta for 48 hours	blood
activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-15 for 48 hours	blood
activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-23 for 48 hours; 100 ng/mL Interleukin-1b for 48 hours	blood
activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-2 for 48 hours	blood
activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-4 for 48 hours	blood
activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL TNF-alpha for 48 hours	blood
activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours	blood
activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 100 ng/mL Interleukin-12 subunit alpha for 4 hours; 100 ng/mL Interleukin-12 subunit beta for 4 hours	blood
activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 100 ng/mL Interleukin-23 for 4 hours; 100 ng/mL Interleukin-1b for 4 hours	blood
activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 100 ng/mL Interleukin-2 for 4 hours	blood
activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 100 ng/mL Interleukin-4 for 4 hours	blood
activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 100 ng/mL TNF-alpha for 4 hours	blood
activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 100 ng/mL Interleukin-15 for 1 hour	blood
activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 100 ng/mL Interleukin-23 for 1 hour; 100 ng/mL Interleukin-1b for 1 hour	blood
activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 100 ng/mL TNF-alpha for 1 hour	blood
activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 50 U/mL Interleukin-2 for 1 hour	blood
activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 100 ng/mL Interleukin-23 for 24 hours; 100 ng/mL Interleukin-1b for 24 hours	blood
activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 100 ng/mL Interleukin-2 for 24 hours	blood
activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 100 ng/mL Interleukin-4 for 24 hours	blood
activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 100 ng/mL TNF-alpha for 24 hours	blood
activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 50 U/mL Interleukin-2 for 24 hours	blood
activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours	blood
activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-12 subunit alpha for 48 hours; 100 ng/mL Interleukin-12 subunit beta for 48 hours	blood
activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-23 for 48 hours; 100 ng/mL Interleukin-1b for 48 hours	blood
activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-2 for 48 hours	blood
activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-4 for 48 hours	blood
activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL TNF-alpha for 48 hours	blood
activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 50 U/mL Interleukin-2 for 48 hours	blood
activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours	blood
activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 100 ng/mL Interleukin-12 subunit alpha for 4 hours; 100 ng/mL Interleukin-12 subunit beta for 4 hours	blood
activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 100 ng/mL Interleukin-4 for 4 hours	blood
activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 100 ng/mL TNF-alpha for 4 hours	blood
activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 50 U/mL Interleukin-2 for 4 hours	blood
activated CD4 positive; naive alpha-beta T cell male adult 43 years treated with 10 ng/mL Interleukin-2 ; anti-CD3 and anti-CD28 coated beads	blood
activated CD4 positive; naive alpha-beta T cell male adult 43 years treated with anti-CD3 and anti-CD28 coated beads	blood
activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour	blood
activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 100 ng/mL Interleukin-2 for 1 hour	blood
activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 100 ng/mL Interleukin-4 for 1 hour	blood
activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 100 ng/mL Interleukin-7 for 1 hour	blood
activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 50 U/mL Interleukin-2 for 1 hour	blood
activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours	blood
activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 100 ng/mL Interleukin-4 for 24 hours	blood
activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours	blood
activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-15 for 48 hours	blood
activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-2 for 48 hours	blood
activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-4 for 48 hours	blood
activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-7 for 48 hours	blood
activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 50 U/mL Interleukin-2 for 48 hours	blood
activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours	blood
activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 100 ng/mL Interleukin-12 subunit alpha for 4 hours; 100 ng/mL Interleukin-12 subunit beta for 4 hours	blood
activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 100 ng/mL Interleukin-15 for 4 hours	blood
activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 100 ng/mL Interleukin-4 for 4 hours	blood
activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 100 ng/mL Interleukin-7 for 4 hours	blood
activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 50 U/mL Interleukin-2 for 4 hours	blood
activated CD8-positive; alpha-beta memory T cell male adult 30 years treated with 10 ng/mL Interleukin-2 ; anti-CD3 and anti-CD28 coated beads	blood
activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour	blood
activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 100 ng/mL Interleukin-12 subunit alpha for 1 hour; 100 ng/mL Interleukin-12 subunit beta for 1 hour	blood
activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 100 ng/mL Interleukin-15 for 1 hour	blood
activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 100 ng/mL Interleukin-2 for 1 hour	blood
activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 100 ng/mL Interleukin-4 for 1 hour	blood
activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 100 ng/mL Interleukin-7 for 1 hour	blood
activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours	blood
activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 100 ng/mL Interleukin-12 subunit alpha for 24 hours; 100 ng/mL Interleukin-12 subunit beta for 24 hours	blood
activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 100 ng/mL Interleukin-15 for 24 hours	blood
activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 100 ng/mL Interleukin-7 for 24 hours	blood
activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 50 U/mL Interleukin-2 for 24 hours	blood
activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours	blood
activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-15 for 48 hours	blood
activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-2 for 48 hours	blood
activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-4 for 48 hours	blood
activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-7 for 48 hours	blood
activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 50 U/mL Interleukin-2 for 48 hours	blood
activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours	blood
activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 100 ng/mL Interleukin-15 for 4 hours	blood
activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 100 ng/mL Interleukin-4 for 4 hours	blood
activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 100 ng/mL Interleukin-7 for 4 hours	blood
activated CD8-positive; alpha-beta T cell male adult 21 years treated with 10 ng/mL Interleukin-2 ; anti-CD3 and anti-CD28 coated beads	blood
activated CD8-positive; alpha-beta T cell male adult 21 years treated with anti-CD3 and anti-CD28 coated beads	blood
activated T-cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 50 U/mL Interleukin-2 for 1 hour	blood
activated T-cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 50 U/mL Interleukin-2 for 24 hours	blood
activated T-cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 50 U/mL Interleukin-2 for 48 hours	blood
activated T-cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 50 U/mL Interleukin-2 for 4 hours	blood
activated T-cell male adult 38 years	bodily fluid
activated T-cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour	blood
activated T-cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 50 U/mL Interleukin-2 for 1 hour	blood
activated T-cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours	blood
activated T-cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours	blood
activated T-cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours	blood
adipocyte	connective tissue
adipocyte originated from mesenchymal stem cell	connective tissue
adipose tissue tissue male adult 34 years	adipose tissue
adrenal gland tissue embryo 96 days	adrenal gland
adrenal gland tissue female adult 30 years	endocrine gland
adrenal gland tissue female adult 41 years	endocrine gland
adrenal gland tissue female adult 47 years	adrenal gland
adrenal gland tissue female adult 51 years	adrenal gland
adrenal gland tissue female adult 53 years	adrenal gland
adrenal gland tissue female child 16 years	adrenal gland
adrenal gland tissue female embryo 108 days	adrenal gland
adrenal gland tissue female embryo 113 days	adrenal gland
adrenal gland tissue female embryo 85 days	adrenal gland
adrenal gland tissue male adult 34 years	endocrine gland
adrenal gland tissue male adult 37 years	adrenal gland
adrenal gland tissue male adult 54 years	adrenal gland
adrenal gland tissue male embryo 101 days	adrenal gland
adrenal gland tissue male embryo 108 days	adrenal gland
adrenal gland tissue male embryo 85 days	adrenal gland
adrenal gland tissue male embryo 97 days	adrenal gland
AG04449	skin of body
AG04450	lung
AG08395	connective tissue
AG08396	connective tissue
AG09309	skin of body
AG09319	mouth
AG10803	skin of body
AG20443	connective tissue
Ammon's horn tissue male adult 84 years	brain
amnion tissue male embryo 16 weeks	extraembryonic component
amniotic epithelial cell	epithelium
amniotic stem cell male embryo 15 weeks	extraembryonic component
angular gyrus tissue female adult 75 years	brain
angular gyrus tissue male adult 81 years	brain
aorta tissue female adult 30 years	vasculature
aorta tissue female adult 41 years	blood vessel
aorta tissue female adult 59 years	blood vessel
aorta tissue male adult 34 years	arterial blood vessel
ascending aorta tissue female adult 51 years	vasculature
ascending aorta tissue female adult 53 years	blood vessel
astrocyte	spinal cord
astrocyte of the cerebellum	brain
astrocyte of the hippocampus	brain
astrocyte of the spinal cord	spinal cord
B cell	bodily fluid
B cell female adult 27 years	bodily fluid
B cell female adult 27 years and female adult 43 years	blood
B cell female adult 34 years	blood
B cell female adult 43 years	blood
B cell male adult 21 years	blood
B cell male adult 22 years	blood
B cell male adult 37 years	bodily fluid
BE2C	brain
bipolar neuron originated from GM23338 treated with 0.5 ?g/mL doxycycline hyclate for 4 days	brain
BJ	penis
body of pancreas tissue female adult 51 years	pancreas
body of pancreas tissue female adult 53 years	pancreas
body of pancreas tissue male adult 37 years	pancreas
body of pancreas tissue male adult 54 years	pancreas
brain microvascular endothelial cell	vasculature
brain organoid female embryo 5 days differentiated 180 days	brain
brain pericyte	brain
brain tissue embryo 112 days	brain
brain tissue embryo 56 days and male embryo 58 days	brain
brain tissue embryo 80 days	brain
brain tissue female embryo 105 days	brain
brain tissue female embryo 109 days	brain
brain tissue female embryo 117 days	brain
brain tissue female embryo 142 days	brain
brain tissue female embryo 17 weeks	brain
brain tissue female embryo 85 days	brain
brain tissue female embryo 96 days	brain
brain tissue male embryo 101 days	brain
brain tissue male embryo 104 days	brain
brain tissue male embryo 105 days	brain
brain tissue male embryo 122 days	brain
brain tissue male embryo 72 days and male embryo 76 days	brain
breast epithelium tissue female adult 51 years	epithelium
breast epithelium tissue female adult 53 years	breast
breast epithelium tissue male adult 37 years	epithelium
breast epithelium tissue male adult 54 years	epithelium
bronchial epithelial cell	lung
bronchial epithelial cell female treated with 6 ?M retinoic acid for 48 hours	epithelium
C4-2B	prostate gland
C803	epithelium
Caco-2	intestine
Caki2	epithelium
cardiac fibroblast	heart
cardiac fibroblast female adult	heart
cardiac fibroblast female embryo 94 days and female embryo 98 days	heart
cardiac muscle cell	musculature of body
cardiac muscle cell originated from H7 treated with 5 ng/mL Fibroblast growth factor 2 for 14 days; 10 ng/mL Bone morphogenetic protein 4 for 14 days; 6 ng/mL Activin A for 14 days	heart
cardiac muscle cell originated from RUES2	musculature of body
cardiac myoblast originated from H7 treated with 10 ng/mL Bone morphogenetic protein 4 for 9 days; 5 ng/mL Fibroblast growth factor 2 for 9 days; 6 ng/mL Activin A for 9 days	heart
cardiac septum tissue female adult 41 years	heart
cardiovascular progenitor cell originated from H7 treated with 5 ng/mL Fibroblast growth factor 2 for 5 days; 10 ng/mL Bone morphogenetic protein 4 for 5 days; 6 ng/mL Activin A for 5 days	fibroblast
caudate nucleus tissue female adult 75 years	brain
caudate nucleus tissue male adult 78 years	brain
caudate nucleus tissue male adult 81 years	brain
CD14-positive monocyte donor ENCDO258PRN	bodily fluid
CD14-positive monocyte donor ENCDO836ICQ	bodily fluid
CD14-positive monocyte female adult 34 years	blood
CD14-positive monocyte female donor ENCDO265AAA	blood
CD14-positive monocyte female donor ENCDO266AAA	blood
CD14-positive monocyte male adult 21 years	bodily fluid
CD14-positive monocyte male adult 21 years and male adult 40 years	blood
CD14-positive monocyte male adult 30 years	bodily fluid
CD14-positive monocyte male adult 37 years	bodily fluid
CD14-positive monocyte originated from CD14-positive monocyte donor ENCDO157PKH	bodily fluid
CD14-positive monocyte originated from CD14-positive monocyte donor ENCDO187BUH	bodily fluid
CD14-positive monocyte originated from CD14-positive monocyte donor ENCDO553CCA	bodily fluid
CD14-positive monocyte originated from CD14-positive monocyte donor ENCDO922TOC	bodily fluid
CD1c-positive myeloid dendritic cell	blood
CD4-positive; alpha-beta memory T cell donor ENCDO194EHQ	bodily fluid
CD4-positive; alpha-beta memory T cell donor ENCDO258PRN	bodily fluid
CD4-positive; alpha-beta memory T cell donor ENCDO553CCA	bodily fluid
CD4-positive; alpha-beta memory T cell donor ENCDO688UWB	bodily fluid
CD4-positive; alpha-beta memory T cell donor ENCDO922CEJ	bodily fluid
CD4-positive; alpha-beta memory T cell male adult 43 years	bodily fluid
CD4-positive; alpha-beta memory T cell originated from blood cell	bodily fluid
CD4-positive; alpha-beta memory T cell originated from CD4-positive; alpha-beta memory T cell donor ENCDO187BUH	bodily fluid
CD4-positive; alpha-beta memory T cell originated from CD4-positive; alpha-beta memory T cell donor ENCDO836ICQ	bodily fluid
CD4-positive; alpha-beta memory T cell originated from CD4-positive; alpha-beta memory T cell donor ENCDO922TOC	bodily fluid
CD4-positive; alpha-beta memory T cell originated from CD4-positive; alpha-beta memory T cell donor ENCDO976NED	bodily fluid
CD4-positive; alpha-beta T cell	bodily fluid
CD4-positive; alpha-beta T cell female adult 26 years and female adult 39 years; treated with Interferon alpha-2 for 1 hour	blood
CD4-positive; alpha-beta T cell female adult 26 years and female adult 39 years; treated with Interleukin-1 beta for 1 hour	blood
CD4-positive; alpha-beta T cell female adult 26 years and female adult 39 years; treated with Interleukin-4 for 1 hour	blood
CD4-positive; alpha-beta T cell female adult 26 years treated with Interferon gamma for 1 hour	blood
CD4-positive; alpha-beta T cell female adult 26 years treated with Interleukin-15 for 1 hour	blood
CD4-positive; alpha-beta T cell female adult 33 years donor ENCDO299FMV	blood
CD4-positive; alpha-beta T cell female adult 33 years donor ENCDO412QUR	blood
CD4-positive; alpha-beta T cell female adult 37 years	blood
CD4-positive; alpha-beta T cell female adult 37 years treated with Interleukin-17A for 4 hours	blood
CD4-positive; alpha-beta T cell female adult 37 years treated with Interleukin-6 for 4 hours	blood
CD4-positive; alpha-beta T cell female adult 37 years treated with Interleukin-6 for 8 hours	blood
CD4-positive; alpha-beta T cell female adult 39 years	blood
CD4-positive; alpha-beta T cell female adult 39 years treated with 100 ng/mL Interleukin-2 for 4 hours	blood
CD4-positive; alpha-beta T cell female adult 39 years treated with Interleukin-10 for 1 hour	blood
CD4-positive; alpha-beta T cell female adult 39 years treated with Interleukin-12 subunit beta for 1 hour; Interleukin-12 subunit alpha for 1 hour	blood
CD4-positive; alpha-beta T cell female adult 39 years treated with Interleukin-15 for 4 hours	blood
CD4-positive; alpha-beta T cell female adult 39 years treated with Interleukin-17A for 1 hour	blood
CD4-positive; alpha-beta T cell female adult 39 years treated with Interleukin-21 for 1 hour	blood
CD4-positive; alpha-beta T cell female adult 39 years treated with Interleukin-4 for 4 hours	blood
CD4-positive; alpha-beta T cell male adult 20 years	bodily fluid
CD4-positive; alpha-beta T cell male adult 21 years	bodily fluid
CD4-positive; alpha-beta T cell male adult 21 years treated with 7.5 ?g/kg G-CSF for 4 days	blood
CD4-positive; alpha-beta T cell male adult 37 years	blood
