,cell_type,tissue
23,activated CD4-positive; alpha-beta T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-2 for 48 hours,blood
24,activated CD4-positive; alpha-beta T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL TNF-alpha for 48 hours,blood
25,activated CD4-positive; alpha-beta T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours,blood
26,activated CD4-positive; alpha-beta T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 100 ng/mL Interleukin-12 subunit alpha for 4 hours; 100 ng/mL Interleukin-12 subunit beta for 4 hours,blood
27,activated CD4-positive; alpha-beta T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 100 ng/mL Interleukin-23 for 4 hours; 100 ng/mL Interleukin-1b for 4 hours,blood
28,activated CD4-positive; alpha-beta T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 50 U/mL Interleukin-2 for 4 hours,blood
29,activated CD4-positive; alpha-beta T cell female adult 37 years,blood
30,activated CD4-positive; alpha-beta T cell female adult 37 years treated with Interleukin-10 for 8 hours,blood
31,activated CD4-positive; alpha-beta T cell female adult 37 years treated with Interleukin-4 for 8 hours,blood
32,activated CD4-positive; alpha-beta T cell female adult 37 years treated with Interleukin-6 for 8 hours,blood
33,activated CD4-positive; alpha-beta T cell male adult 20 years treated with 10 ng/mL Interleukin-2 ; anti-CD3 and anti-CD28 coated beads,blood
34,activated CD4-positive; alpha-beta T cell male adult 20 years treated with anti-CD3 and anti-CD28 coated beads,blood
35,activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour,blood
36,activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 100 ng/mL Interleukin-15 for 1 hour,blood
37,activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 100 ng/mL Interleukin-23 for 1 hour; 100 ng/mL Interleukin-1b for 1 hour,blood
38,activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 100 ng/mL Interleukin-4 for 1 hour,blood
39,activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 100 ng/mL TNF-alpha for 1 hour,blood
40,activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours,blood
41,activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 100 ng/mL Interleukin-12 subunit alpha for 24 hours; 100 ng/mL Interleukin-12 subunit beta for 24 hours,blood
42,activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 100 ng/mL Interleukin-15 for 24 hours,blood
43,activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 100 ng/mL Interleukin-23 for 24 hours; 100 ng/mL Interleukin-1b for 24 hours,blood
44,activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 100 ng/mL Interleukin-2 for 24 hours,blood
45,activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 100 ng/mL Interleukin-4 for 24 hours,blood
46,activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 100 ng/mL TNF-alpha for 24 hours,blood
47,activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 50 U/mL Interleukin-2 for 24 hours,blood
48,activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours,blood
49,activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-12 subunit alpha for 48 hours; 100 ng/mL Interleukin-12 subunit beta for 48 hours,blood
50,activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-15 for 48 hours,blood
51,activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-23 for 48 hours; 100 ng/mL Interleukin-1b for 48 hours,blood
52,activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-2 for 48 hours,blood
53,activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-4 for 48 hours,blood
54,activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL TNF-alpha for 48 hours,blood
55,activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours,blood
56,activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 100 ng/mL Interleukin-12 subunit alpha for 4 hours; 100 ng/mL Interleukin-12 subunit beta for 4 hours,blood
57,activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 100 ng/mL Interleukin-23 for 4 hours; 100 ng/mL Interleukin-1b for 4 hours,blood
58,activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 100 ng/mL Interleukin-2 for 4 hours,blood
59,activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 100 ng/mL Interleukin-4 for 4 hours,blood
60,activated CD4-positive; alpha-beta T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 100 ng/mL TNF-alpha for 4 hours,blood
61,activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 100 ng/mL Interleukin-15 for 1 hour,blood
62,activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 100 ng/mL Interleukin-23 for 1 hour; 100 ng/mL Interleukin-1b for 1 hour,blood
63,activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 100 ng/mL TNF-alpha for 1 hour,blood
64,activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 50 U/mL Interleukin-2 for 1 hour,blood
65,activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 100 ng/mL Interleukin-23 for 24 hours; 100 ng/mL Interleukin-1b for 24 hours,blood
66,activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 100 ng/mL Interleukin-2 for 24 hours,blood
67,activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 100 ng/mL Interleukin-4 for 24 hours,blood
68,activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 100 ng/mL TNF-alpha for 24 hours,blood
69,activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 50 U/mL Interleukin-2 for 24 hours,blood
70,activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours,blood
71,activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-12 subunit alpha for 48 hours; 100 ng/mL Interleukin-12 subunit beta for 48 hours,blood
72,activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-23 for 48 hours; 100 ng/mL Interleukin-1b for 48 hours,blood
73,activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-2 for 48 hours,blood
74,activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-4 for 48 hours,blood
75,activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL TNF-alpha for 48 hours,blood
76,activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 50 U/mL Interleukin-2 for 48 hours,blood
77,activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours,blood
78,activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 100 ng/mL Interleukin-12 subunit alpha for 4 hours; 100 ng/mL Interleukin-12 subunit beta for 4 hours,blood
79,activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 100 ng/mL Interleukin-4 for 4 hours,blood
80,activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 100 ng/mL TNF-alpha for 4 hours,blood
81,activated CD4-positive; alpha-beta T cell male adult 42 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 50 U/mL Interleukin-2 for 4 hours,blood
82,activated CD4 positive; naive alpha-beta T cell male adult 43 years treated with 10 ng/mL Interleukin-2 ; anti-CD3 and anti-CD28 coated beads,blood
83,activated CD4 positive; naive alpha-beta T cell male adult 43 years treated with anti-CD3 and anti-CD28 coated beads,blood
84,activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour,blood
85,activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 100 ng/mL Interleukin-2 for 1 hour,blood
86,activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 100 ng/mL Interleukin-4 for 1 hour,blood
87,activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 100 ng/mL Interleukin-7 for 1 hour,blood
88,activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 50 U/mL Interleukin-2 for 1 hour,blood
89,activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours,blood
90,activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 100 ng/mL Interleukin-4 for 24 hours,blood
91,activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours,blood
92,activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-15 for 48 hours,blood
93,activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-2 for 48 hours,blood
94,activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-4 for 48 hours,blood
95,activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-7 for 48 hours,blood
96,activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 50 U/mL Interleukin-2 for 48 hours,blood
97,activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours,blood
98,activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 100 ng/mL Interleukin-12 subunit alpha for 4 hours; 100 ng/mL Interleukin-12 subunit beta for 4 hours,blood
99,activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 100 ng/mL Interleukin-15 for 4 hours,blood
100,activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 100 ng/mL Interleukin-4 for 4 hours,blood
101,activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 100 ng/mL Interleukin-7 for 4 hours,blood
102,activated CD8-positive; alpha-beta memory T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 50 U/mL Interleukin-2 for 4 hours,blood
103,activated CD8-positive; alpha-beta memory T cell male adult 30 years treated with 10 ng/mL Interleukin-2 ; anti-CD3 and anti-CD28 coated beads,blood
104,activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour,blood
105,activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 100 ng/mL Interleukin-12 subunit alpha for 1 hour; 100 ng/mL Interleukin-12 subunit beta for 1 hour,blood
106,activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 100 ng/mL Interleukin-15 for 1 hour,blood
107,activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 100 ng/mL Interleukin-2 for 1 hour,blood
108,activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 100 ng/mL Interleukin-4 for 1 hour,blood
109,activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 100 ng/mL Interleukin-7 for 1 hour,blood
110,activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours,blood
111,activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 100 ng/mL Interleukin-12 subunit alpha for 24 hours; 100 ng/mL Interleukin-12 subunit beta for 24 hours,blood
112,activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 100 ng/mL Interleukin-15 for 24 hours,blood
113,activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 100 ng/mL Interleukin-7 for 24 hours,blood
114,activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 50 U/mL Interleukin-2 for 24 hours,blood
115,activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours,blood
116,activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-15 for 48 hours,blood
117,activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-2 for 48 hours,blood
118,activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-4 for 48 hours,blood
119,activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-7 for 48 hours,blood
120,activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 50 U/mL Interleukin-2 for 48 hours,blood
121,activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours,blood
122,activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 100 ng/mL Interleukin-15 for 4 hours,blood
123,activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 100 ng/mL Interleukin-4 for 4 hours,blood
124,activated CD8-positive; alpha-beta memory T cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 100 ng/mL Interleukin-7 for 4 hours,blood
125,activated CD8-positive; alpha-beta T cell male adult 21 years treated with 10 ng/mL Interleukin-2 ; anti-CD3 and anti-CD28 coated beads,blood
126,activated CD8-positive; alpha-beta T cell male adult 21 years treated with anti-CD3 and anti-CD28 coated beads,blood
127,activated T-cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 50 U/mL Interleukin-2 for 1 hour,blood
128,activated T-cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 50 U/mL Interleukin-2 for 24 hours,blood
129,activated T-cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 50 U/mL Interleukin-2 for 48 hours,blood
130,activated T-cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours; 50 U/mL Interleukin-2 for 4 hours,blood
131,activated T-cell male adult 38 years,bodily fluid
132,activated T-cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour,blood
133,activated T-cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 50 U/mL Interleukin-2 for 1 hour,blood
134,activated T-cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours,blood
135,activated T-cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours,blood
136,activated T-cell male adult 38 years treated with anti-CD3 and anti-CD28 coated beads for 4 hours,blood
137,adipocyte,connective tissue
138,adipocyte originated from mesenchymal stem cell,connective tissue
139,adipose tissue tissue male adult 34 years,adipose tissue
140,adrenal gland tissue embryo 96 days,adrenal gland
141,adrenal gland tissue female adult 30 years,endocrine gland
142,adrenal gland tissue female adult 41 years,endocrine gland
143,adrenal gland tissue female adult 47 years,adrenal gland
144,adrenal gland tissue female adult 51 years,adrenal gland
145,adrenal gland tissue female adult 53 years,adrenal gland
146,adrenal gland tissue female child 16 years,adrenal gland
147,adrenal gland tissue female embryo 108 days,adrenal gland
148,adrenal gland tissue female embryo 113 days,adrenal gland
149,adrenal gland tissue female embryo 85 days,adrenal gland
150,adrenal gland tissue male adult 34 years,endocrine gland
151,adrenal gland tissue male adult 37 years,adrenal gland
152,adrenal gland tissue male adult 54 years,adrenal gland
153,adrenal gland tissue male embryo 101 days,adrenal gland
154,adrenal gland tissue male embryo 108 days,adrenal gland
155,adrenal gland tissue male embryo 85 days,adrenal gland
156,adrenal gland tissue male embryo 97 days,adrenal gland
157,AG04449,skin of body
158,AG04450,lung
159,AG08395,connective tissue
160,AG08396,connective tissue
161,AG09309,skin of body
162,AG09319,mouth
163,AG10803,skin of body
164,AG20443,connective tissue
165,Ammon's horn tissue male adult 84 years,brain
166,amnion tissue male embryo 16 weeks,extraembryonic component
167,amniotic epithelial cell,epithelium
168,amniotic stem cell male embryo 15 weeks,extraembryonic component
169,angular gyrus tissue female adult 75 years,brain
170,angular gyrus tissue male adult 81 years,brain
171,aorta tissue female adult 30 years,vasculature
172,aorta tissue female adult 41 years,blood vessel
173,aorta tissue female adult 59 years,blood vessel
174,aorta tissue male adult 34 years,arterial blood vessel
175,ascending aorta tissue female adult 51 years,vasculature
176,ascending aorta tissue female adult 53 years,blood vessel
177,astrocyte,spinal cord
178,astrocyte of the cerebellum,brain
179,astrocyte of the hippocampus,brain
180,astrocyte of the spinal cord,spinal cord
181,B cell,bodily fluid
182,B cell female adult 27 years,bodily fluid
183,B cell female adult 27 years and female adult 43 years,blood
184,B cell female adult 34 years,blood
185,B cell female adult 43 years,blood
186,B cell male adult 21 years,blood
187,B cell male adult 22 years,blood
188,B cell male adult 37 years,bodily fluid
189,BE2C,brain
190,bipolar neuron originated from GM23338 treated with 0.5 ?g/mL doxycycline hyclate for 4 days,brain
191,BJ,penis
192,body of pancreas tissue female adult 51 years,pancreas
193,body of pancreas tissue female adult 53 years,pancreas
194,body of pancreas tissue male adult 37 years,pancreas
195,body of pancreas tissue male adult 54 years,pancreas
196,brain microvascular endothelial cell,vasculature
197,brain organoid female embryo 5 days differentiated 180 days,brain
198,brain pericyte,brain
199,brain tissue embryo 112 days,brain
200,brain tissue embryo 56 days and male embryo 58 days,brain
201,brain tissue embryo 80 days,brain
202,brain tissue female embryo 105 days,brain
203,brain tissue female embryo 109 days,brain
204,brain tissue female embryo 117 days,brain
205,brain tissue female embryo 142 days,brain
206,brain tissue female embryo 17 weeks,brain
207,brain tissue female embryo 85 days,brain
208,brain tissue female embryo 96 days,brain
209,brain tissue male embryo 101 days,brain
210,brain tissue male embryo 104 days,brain
211,brain tissue male embryo 105 days,brain
212,brain tissue male embryo 122 days,brain
213,brain tissue male embryo 72 days and male embryo 76 days,brain
214,breast epithelium tissue female adult 51 years,epithelium
215,breast epithelium tissue female adult 53 years,breast
216,breast epithelium tissue male adult 37 years,epithelium
217,breast epithelium tissue male adult 54 years,epithelium
218,bronchial epithelial cell,lung
219,bronchial epithelial cell female treated with 6 ?M retinoic acid for 48 hours,epithelium
220,C4-2B,prostate gland
221,C803,epithelium
222,Caco-2,intestine
223,Caki2,epithelium
224,cardiac fibroblast,heart
225,cardiac fibroblast female adult,heart
226,cardiac fibroblast female embryo 94 days and female embryo 98 days,heart
227,cardiac muscle cell,musculature of body
228,cardiac muscle cell originated from H7 treated with 5 ng/mL Fibroblast growth factor 2 for 14 days; 10 ng/mL Bone morphogenetic protein 4 for 14 days; 6 ng/mL Activin A for 14 days,heart
229,cardiac muscle cell originated from RUES2,musculature of body
230,cardiac myoblast originated from H7 treated with 10 ng/mL Bone morphogenetic protein 4 for 9 days; 5 ng/mL Fibroblast growth factor 2 for 9 days; 6 ng/mL Activin A for 9 days,heart
231,cardiac septum tissue female adult 41 years,heart
232,cardiovascular progenitor cell originated from H7 treated with 5 ng/mL Fibroblast growth factor 2 for 5 days; 10 ng/mL Bone morphogenetic protein 4 for 5 days; 6 ng/mL Activin A for 5 days,fibroblast
233,caudate nucleus tissue female adult 75 years,brain
234,caudate nucleus tissue male adult 78 years,brain
235,caudate nucleus tissue male adult 81 years,brain
236,CD14-positive monocyte donor ENCDO258PRN,bodily fluid
237,CD14-positive monocyte donor ENCDO836ICQ,bodily fluid
238,CD14-positive monocyte female adult 34 years,blood
239,CD14-positive monocyte female donor ENCDO265AAA,blood
240,CD14-positive monocyte female donor ENCDO266AAA,blood
241,CD14-positive monocyte male adult 21 years,bodily fluid
242,CD14-positive monocyte male adult 21 years and male adult 40 years,blood
243,CD14-positive monocyte male adult 30 years,bodily fluid
244,CD14-positive monocyte male adult 37 years,bodily fluid
245,CD14-positive monocyte originated from CD14-positive monocyte donor ENCDO157PKH,bodily fluid
246,CD14-positive monocyte originated from CD14-positive monocyte donor ENCDO187BUH,bodily fluid
247,CD14-positive monocyte originated from CD14-positive monocyte donor ENCDO553CCA,bodily fluid
248,CD14-positive monocyte originated from CD14-positive monocyte donor ENCDO922TOC,bodily fluid
249,CD1c-positive myeloid dendritic cell,blood
250,CD4-positive; alpha-beta memory T cell donor ENCDO194EHQ,bodily fluid
251,CD4-positive; alpha-beta memory T cell donor ENCDO258PRN,bodily fluid
252,CD4-positive; alpha-beta memory T cell donor ENCDO553CCA,bodily fluid
253,CD4-positive; alpha-beta memory T cell donor ENCDO688UWB,bodily fluid
254,CD4-positive; alpha-beta memory T cell donor ENCDO922CEJ,bodily fluid
255,CD4-positive; alpha-beta memory T cell male adult 43 years,bodily fluid
256,CD4-positive; alpha-beta memory T cell originated from blood cell,bodily fluid
257,CD4-positive; alpha-beta memory T cell originated from CD4-positive; alpha-beta memory T cell donor ENCDO187BUH,bodily fluid
258,CD4-positive; alpha-beta memory T cell originated from CD4-positive; alpha-beta memory T cell donor ENCDO836ICQ,bodily fluid
259,CD4-positive; alpha-beta memory T cell originated from CD4-positive; alpha-beta memory T cell donor ENCDO922TOC,bodily fluid
260,CD4-positive; alpha-beta memory T cell originated from CD4-positive; alpha-beta memory T cell donor ENCDO976NED,bodily fluid
261,CD4-positive; alpha-beta T cell,bodily fluid
262,CD4-positive; alpha-beta T cell female adult 26 years and female adult 39 years; treated with Interferon alpha-2 for 1 hour,blood
263,CD4-positive; alpha-beta T cell female adult 26 years and female adult 39 years; treated with Interleukin-1 beta for 1 hour,blood
264,CD4-positive; alpha-beta T cell female adult 26 years and female adult 39 years; treated with Interleukin-4 for 1 hour,blood
265,CD4-positive; alpha-beta T cell female adult 26 years treated with Interferon gamma for 1 hour,blood
266,CD4-positive; alpha-beta T cell female adult 26 years treated with Interleukin-15 for 1 hour,blood
267,CD4-positive; alpha-beta T cell female adult 33 years donor ENCDO299FMV,blood
268,CD4-positive; alpha-beta T cell female adult 33 years donor ENCDO412QUR,blood
269,CD4-positive; alpha-beta T cell female adult 37 years,blood
270,CD4-positive; alpha-beta T cell female adult 37 years treated with Interleukin-17A for 4 hours,blood
271,CD4-positive; alpha-beta T cell female adult 37 years treated with Interleukin-6 for 4 hours,blood
